Type,Index,Description,Subject,Gold,GPT3_normal,GPT3.5_normal,GPT4_normal,GPT4_CoT,GPT4_CoT_self_refine,GPT4_CoT+OneShot,GPT4_CoT+SC@8
Numeric,54,JEE Adv 2020 Paper 1,math,1,-2,-1,1,5,1,1,1
Integer,2,JEE Adv 2020 Paper 2,phy,9,None,8,2,7.875,7.875,None,7.875
Integer,4,JEE Adv 2020 Paper 2,phy,4,0,None,4,4,4,4,4
MCQ(multiple),10,JEE Adv 2020 Paper 2,phy,AC,B,AC,AC,AC,AC,AC,AC
MCQ(multiple),11,JEE Adv 2020 Paper 2,phy,AC,AD,BC,BC,B,B,BC,BC
MCQ(multiple),12,JEE Adv 2020 Paper 2,phy,BCD,C,BD,ACD,CD,CD,ABCD,BCD
Numeric,15,JEE Adv 2020 Paper 2,phy,1.3,14.29,2,1.8,1.8,1.507,1.11,1.8
Numeric,16,JEE Adv 2020 Paper 2,phy,0.24,-37,-0.76,80.5,-23.81,-23.81,-23.81,0.24
Numeric,18,JEE Adv 2020 Paper 2,phy,8.33,175,9.52,34726.85,35000,8.33,8.33,35000
Integer,19,JEE Adv 2020 Paper 2,chem,9,6,7,None,1,1,1,9
Integer,21,JEE Adv 2020 Paper 2,chem,6,6,16,16,6,6,10,6
Integer,22,JEE Adv 2020 Paper 2,chem,4,3,5,0,0,4,0,3
Integer,24,JEE Adv 2020 Paper 2,chem,6,480,24,6,4,6,6,2
MCQ(multiple),27,JEE Adv 2020 Paper 2,chem,ABCD,ABD,ABD,ABD,ABD,ABD,ABCD,ABD
MCQ(multiple),28,JEE Adv 2020 Paper 2,chem,AB,ABCD,ABCD,AD,AD,AD,ABCD,AD
Numeric,32,JEE Adv 2020 Paper 2,chem,0.2,0.8,0.6,0.2,0.2,0.2,0.2,0.2
Numeric,35,JEE Adv 2020 Paper 2,chem,935,5.78,1130,935,935,935,512.87,935
Numeric,36,JEE Adv 2020 Paper 2,chem,0.2,None,0.63,None,0.2,0.2,2,0.2
Integer,37,JEE Adv 2020 Paper 2,math,8,13.64,64,4,16,64,None,0
Integer,38,JEE Adv 2020 Paper 2,math,6,4,0.95,6,5,5,7,5
Integer,39,JEE Adv 2020 Paper 2,math,2,4,2.3,0,None,None,None,2
Integer,40,JEE Adv 2020 Paper 2,math,5,None,6,None,5,5,-2,2
Integer,41,JEE Adv 2020 Paper 2,math,4,2,1,0,0,2,5,1
Integer,42,JEE Adv 2020 Paper 2,math,8,8,0.72,0,0,0,0,0
MCQ(multiple),43,JEE Adv 2020 Paper 2,math,AC,ABC,ABCD,CD,ACD,AC,ACD,AC
MCQ(multiple),44,JEE Adv 2020 Paper 2,math,AD,AD,AB,AD,A,A,A,A
MCQ(multiple),45,JEE Adv 2020 Paper 2,math,ABD,AB,ABC,A,AD,AD,ABD,AD
MCQ(multiple),46,JEE Adv 2020 Paper 2,math,ABC,AB,AC,A,None,D,ABCD,B
MCQ(multiple),47,JEE Adv 2020 Paper 2,math,AC,A,BC,D,None,None,None,ACD
MCQ(multiple),48,JEE Adv 2020 Paper 2,math,ABD,None,None,ABC,A,None,None,A
Numeric,49,JEE Adv 2020 Paper 2,math,495,1365,19505,51051,2380,2380,1365,105
Numeric,50,JEE Adv 2020 Paper 2,math,1080,1350,180,1260,4320,6480,540,1440
Numeric,51,JEE Adv 2020 Paper 2,math,8,9.33,3.5,2.67,1.56,8,1.56,8
Numeric,52,JEE Adv 2020 Paper 2,math,19,-2.86,None,59.02,12,12,38,1.84
Numeric,53,JEE Adv 2020 Paper 2,math,4,-10,3.1,None,None,None,1,-4
Numeric,54,JEE Adv 2020 Paper 2,math,0.5,None,1.5,0.75,0.25,1.25,0.5,0.25
MCQ,4,JEE Adv 2021 Paper 1,phy,D,D,D,D,D,D,D,D
Numeric,5,JEE Adv 2021 Paper 1,phy,0.5,None,1.41,1,1,0.5,1,1
Numeric,6,JEE Adv 2021 Paper 1,phy,7.5,2.94,0.125,5,5,5,5,5
MCQ(multiple),13,JEE Adv 2021 Paper 1,phy,ABC,ABCD,ABD,AC,D,D,ACD,B
MCQ(multiple),14,JEE Adv 2021 Paper 1,phy,AD,ACD,BD,D,AD,AD,AD,AD
Integer,17,JEE Adv 2021 Paper 1,phy,4,2,0.18,8,8,8,None,4
MCQ,22,JEE Adv 2021 Paper 1,chem,A,C,D,C,C,C,C,C
Numeric,27,JEE Adv 2021 Paper 1,chem,100.1,100.05,100,100.13,100.05,100.05,0.025,100.05
Numeric,28,JEE Adv 2021 Paper 1,chem,2.5,5,0.1,7.5,7.5,7.5,2.5,7.5
MCQ(multiple),31,JEE Adv 2021 Paper 1,chem,BC,ABCD,C,CD,CD,CD,CD,CD
MCQ(multiple),33,JEE Adv 2021 Paper 1,chem,ACD,BCD,ACD,ACD,ACD,ACD,ACD,ACD
Integer,35,JEE Adv 2021 Paper 1,chem,13,4,14,3,5,3,5,4
MCQ,37,JEE Adv 2021 Paper 1,math,B,D,A,A,None,C,A,A
MCQ,38,JEE Adv 2021 Paper 1,math,A,D,A,None,None,None,None,C
MCQ,39,JEE Adv 2021 Paper 1,math,A,A,D,None,C,C,None,A
MCQ,40,JEE Adv 2021 Paper 1,math,C,A,C,C,C,D,B,C
Numeric,41,JEE Adv 2021 Paper 1,math,76.25,156.88,15.125,155.25,305,305,12.2,76.25
Numeric,42,JEE Adv 2021 Paper 1,math,24.5,0.86,98.75,None,12.25,12.25,0.026,2
Numeric,43,JEE Adv 2021 Paper 1,math,1.00,0.286,None,-2,-90,-10,None,1
Numeric,44,JEE Adv 2021 Paper 1,math,1.5,None,None,0.1,0.67,0,None,0.17
Numeric,45,JEE Adv 2021 Paper 1,math,9.00,2,6,54,54,54,0,13.5
Numeric,46,JEE Adv 2021 Paper 1,math,77.14,45,4,270,67.56,67.56,270,108
MCQ(multiple),47,JEE Adv 2021 Paper 1,math,ABD,A,ABC,AD,AC,A,AD,ACD
MCQ(multiple),48,JEE Adv 2021 Paper 1,math,AB,ABD,AD,AB,ABD,ABD,ABD,ABD
MCQ(multiple),49,JEE Adv 2021 Paper 1,math,ABC,AB,ABC,ABC,ABC,ABC,ABC,ABC
MCQ(multiple),50,JEE Adv 2021 Paper 1,math,ABC,BC,ABD,ABCD,AB,ABC,AC,AB
MCQ(multiple),51,JEE Adv 2021 Paper 1,math,AB,AC,AC,AC,C,CD,ABC,A
MCQ(multiple),52,JEE Adv 2021 Paper 1,math,BD,None,ACD,AC,AB,AB,AD,AC
Integer,53,JEE Adv 2021 Paper 1,math,4,2,4,4,2,4,2,2
Integer,54,JEE Adv 2021 Paper 1,math,2,6.44,6,11,1,None,None,0
MCQ(multiple),2,JEE Adv 2021 Paper 2,phy,AD,A,ABD,B,D,None,B,D
MCQ(multiple),4,JEE Adv 2021 Paper 2,phy,BD,A,B,A,A,A,AD,None
MCQ(multiple),5,JEE Adv 2021 Paper 2,phy,ACD,ABD,ABCD,ACD,ABCD,ABCD,AC,ABCD
Numeric,9,JEE Adv 2021 Paper 2,phy,0.18,0.2,0.3,0.18,0.1,0.02,0.084,0.18
Numeric,10,JEE Adv 2021 Paper 2,phy,0.16,None,1.82,0.04,0.2,0.97,0.1,0.2
Numeric,11,JEE Adv 2021 Paper 2,phy,100.00,0.037,0.0032,1150,100,100,0.3,0.0025
Numeric,12,JEE Adv 2021 Paper 2,phy,60,None,-53.13,45,63.43,45,45,45
MCQ(multiple),21,JEE Adv 2021 Paper 2,chem,BCD,ABC,BD,AB,B,B,ABC,None
MCQ(multiple),22,JEE Adv 2021 Paper 2,chem,ABC,A,C,AC,ABC,ABC,None,AC
MCQ(multiple),23,JEE Adv 2021 Paper 2,chem,ABD,ABCD,A,C,AB,ABD,ABC,BCD
MCQ(multiple),24,JEE Adv 2021 Paper 2,chem,ABD,AC,AB,ABD,ABD,ABD,ABD,ABD
Numeric,25,JEE Adv 2021 Paper 2,chem,0.22,0.05,0.02,None,0.67,0.67,0.22,0.67
Numeric,26,JEE Adv 2021 Paper 2,chem,0.86,3,77.46,None,1,0,148.92,0.37
Numeric,27,JEE Adv 2021 Paper 2,chem,3.57,None,57.72,0.44,0.4,0.4,0.89,0.18
Numeric,28,JEE Adv 2021 Paper 2,chem,1.23,0.93,2.3,1.01,0.42,0.42,0.66,0.42
Numeric,29,JEE Adv 2021 Paper 2,chem,1.87,0.38,2.4,1.87,0.075,7.5,3.75,1.875
Numeric,30,JEE Adv 2021 Paper 2,chem,18.75,13.2,0.6,0.75,18.75,18.75,18.75,18.75
MCQ,31,JEE Adv 2021 Paper 2,chem,A,C,C,D,B,B,B,B
MCQ,33,JEE Adv 2021 Paper 2,chem,C,D,A,C,C,B,C,C
MCQ,34,JEE Adv 2021 Paper 2,chem,D,A,D,D,D,D,D,D
Integer,36,JEE Adv 2021 Paper 2,chem,30,92000,-6000,30,30,30,30,30
MCQ(multiple),37,JEE Adv 2021 Paper 2,math,ABD,ABCD,AC,AD,AD,AB,ABD,AD
MCQ(multiple),38,JEE Adv 2021 Paper 2,math,AB,ABCD,BC,ABCD,ACD,ACD,ABCD,ABD
MCQ(multiple),39,JEE Adv 2021 Paper 2,math,ABC,AB,AB,None,AB,AB,AB,A
MCQ(multiple),40,JEE Adv 2021 Paper 2,math,AC,D,AC,AC,AC,AC,ABCD,AC
MCQ(multiple),42,JEE Adv 2021 Paper 2,math,ABD,C,AD,B,B,B,B,ABD
Numeric,43,JEE Adv 2021 Paper 2,math,1.5,1,2.23,2,1.73,1.73,0.5,2
Numeric,44,JEE Adv 2021 Paper 2,math,2.00,None,0.5,4.5,2,2,0.67,0.5
Numeric,45,JEE Adv 2021 Paper 2,math,57,231,722,162,42,42,63,163
Numeric,46,JEE Adv 2021 Paper 2,math,6,26,None,0,6,6,6,6
Numeric,47,JEE Adv 2021 Paper 2,math,2,-0.45,4.51,4,2,2,None,2
MCQ,49,JEE Adv 2021 Paper 2,math,D,A,B,A,D,D,A,A
MCQ,50,JEE Adv 2021 Paper 2,math,B,B,B,D,C,C,A,B
MCQ,51,JEE Adv 2021 Paper 2,math,C,A,A,CD,B,B,CD,B
Numeric,1,JEE Adv 2022 Paper 1,math,2.35,None,None,0.45,2.94,2.94,None,0.46
Numeric,2,JEE Adv 2022 Paper 1,math,0.5,0,None,None,None,None,None,0
Numeric,3,JEE Adv 2022 Paper 1,math,0.8,0.99,0.82,0.8,0.8,0.8,0.8,0.53
Numeric,4,JEE Adv 2022 Paper 1,math,0.5,None,2.2,None,0.9,0.5,None,0.25
Numeric,5,JEE Adv 2022 Paper 1,math,4,1,1,3,2,2,0,2
Numeric,6,JEE Adv 2022 Paper 1,math,18900,1000,1200,76000,18900,18900,9900,-819.6
Numeric,7,JEE Adv 2022 Paper 1,math,569,30,918,648,648,648,1002,540
Numeric,8,JEE Adv 2022 Paper 1,math,0.83,2.45,0.73,0.29,2.73,0.27,None,0.0012
MCQ(multiple),9,JEE Adv 2022 Paper 1,math,CD,D,BCD,CD,None,CD,A,CD
MCQ(multiple),10,JEE Adv 2022 Paper 1,math,BC,ABCD,AD,None,None,None,None,None
MCQ(multiple),11,JEE Adv 2022 Paper 1,math,ABD,BC,BD,None,B,B,B,None
MCQ(multiple),12,JEE Adv 2022 Paper 1,math,ABC,ABCD,ABCD,None,ABCD,None,C,None
MCQ(multiple),14,JEE Adv 2022 Paper 1,math,AC,None,None,ABCD,AC,AC,BC,None
MCQ,15,JEE Adv 2022 Paper 1,math,B,D,C,B,D,None,B,B
MCQ,16,JEE Adv 2022 Paper 1,math,A,A,B,A,A,A,C,A
MCQ,17,JEE Adv 2022 Paper 1,math,B,D,A,A,B,B,A,A
MCQ,18,JEE Adv 2022 Paper 1,math,C,A,None,A,A,A,A,A
Numeric,19,JEE Adv 2022 Paper 1,phy,2.3,0.58,7.56,None,0.72,0.72,None,0.69
Numeric,20,JEE Adv 2022 Paper 1,phy,2.32,None,3.07,6.68,1.49,1.49,4.67,1.86
Numeric,23,JEE Adv 2022 Paper 1,phy,0.52,-14.54,1.77,0,1.98,None,None,0
Numeric,25,JEE Adv 2022 Paper 1,phy,4,10,200,None,4,4,400,40
Numeric,26,JEE Adv 2022 Paper 1,phy,0.95,1.235,3.24,0.9,None,None,0.81,1
MCQ(multiple),32,JEE Adv 2022 Paper 1,phy,ABD,ABC,ABC,AD,BCD,BCD,AD,ABD
MCQ,35,JEE Adv 2022 Paper 1,phy,C,A,C,None,A,A,A,C
Numeric,37,JEE Adv 2022 Paper 1,chem,90.39,366.48,234.68,86.68,86.68,86.68,209,86.68
Numeric,38,JEE Adv 2022 Paper 1,chem,0.77,2.86,1.86,3.92,3.92,None,3.92,3.92
Numeric,39,JEE Adv 2022 Paper 1,chem,10.02,6.24,5.89,3.94,6.37,13,10.02,0.7
Numeric,40,JEE Adv 2022 Paper 1,chem,0.32,2.38,0.96,3.8,1.9,1.9,1.9,1.9
Numeric,41,JEE Adv 2022 Paper 1,chem,2.38,0.12,6.38,6.36,9.57,9.57,6.4,2.39
MCQ(multiple),45,JEE Adv 2022 Paper 1,chem,AD,ABC,BC,BC,AC,AC,BC,BC
MCQ(multiple),46,JEE Adv 2022 Paper 1,chem,AD,AC,ACD,AD,AD,AD,ACD,ACD
MCQ(multiple),47,JEE Adv 2022 Paper 1,chem,BCD,ABCD,D,BC,BCD,BC,BCD,BCD
MCQ(multiple),48,JEE Adv 2022 Paper 1,chem,AD,ABC,AC,BD,BCD,ABC,BD,BD
MCQ,52,JEE Adv 2022 Paper 1,chem,D,C,D,D,B,B,C,C
MCQ,53,JEE Adv 2022 Paper 1,chem,A,A,C,None,A,A,A,A
MCQ,54,JEE Adv 2022 Paper 1,chem,D,D,B,D,D,None,C,D
Integer,1,JEE Adv 2022 Paper 2,math,1,0,None,9,0,9,0,0
Integer,2,JEE Adv 2022 Paper 2,math,8,20,-5.71,-40,20,None,None,-20
Numeric,3,JEE Adv 2022 Paper 2,math,5,7.5,1,4,8,4,4,3
Integer,4,JEE Adv 2022 Paper 2,math,1,None,0.2,1,25,25,25,1
Integer,5,JEE Adv 2022 Paper 2,math,5,3,0,12,0,None,6,0
Integer,6,JEE Adv 2022 Paper 2,math,3,9,24.59,0,0,-18,0,0
Integer,7,JEE Adv 2022 Paper 2,math,7,0,0,2666,None,None,3,13
Integer,8,JEE Adv 2022 Paper 2,math,6,2.63,7,21,9,9,None,14
MCQ(multiple),9,JEE Adv 2022 Paper 2,math,AB,B,A,B,AB,AB,B,BC
MCQ(multiple),10,JEE Adv 2022 Paper 2,math,ABC,AB,A,ABC,AB,AB,ABCD,ABC
MCQ(multiple),11,JEE Adv 2022 Paper 2,math,A,None,ABCD,D,None,None,BCD,C
MCQ(multiple),12,JEE Adv 2022 Paper 2,math,CD,ABCD,None,ACD,CD,ACD,ABCD,AB
MCQ(multiple),13,JEE Adv 2022 Paper 2,math,BCD,D,C,BC,ACD,ACD,D,None
MCQ(multiple),14,JEE Adv 2022 Paper 2,math,C,AD,ABD,CD,C,None,CD,CD
MCQ,15,JEE Adv 2022 Paper 2,math,A,D,A,B,None,None,None,B
MCQ,16,JEE Adv 2022 Paper 2,math,A,A,A,B,D,None,B,A
MCQ,17,JEE Adv 2022 Paper 2,math,C,B,C,C,None,None,B,C
MCQ,18,JEE Adv 2022 Paper 2,math,B,C,B,None,B,None,B,A
Integer,19,JEE Adv 2022 Paper 2,phy,3,0.75,2,3.54,0,None,None,0
Integer,20,JEE Adv 2022 Paper 2,phy,2,1,0.5,2,2,2,2,2
Integer,22,JEE Adv 2022 Paper 2,phy,4,1,2,1,0,-1,1,0
Integer,25,JEE Adv 2022 Paper 2,phy,6,2,1,3,12,10,1,7
MCQ(multiple),29,JEE Adv 2022 Paper 2,phy,CD,ABC,BC,ABCD,ABCD,ABCD,ABC,ABC
MCQ(multiple),30,JEE Adv 2022 Paper 2,phy,ACD,AB,ABCD,BD,AD,AD,AD,ACD
MCQ,34,JEE Adv 2022 Paper 2,phy,A,A,A,B,B,B,D,B
MCQ,35,JEE Adv 2022 Paper 2,phy,C,A,C,C,C,C,D,C
Integer,37,JEE Adv 2022 Paper 2,chem,6,-7,5,6,8,8,6,7
Integer,38,JEE Adv 2022 Paper 2,chem,5,0.9,180,5,7,2,1,1
Integer,40,JEE Adv 2022 Paper 2,chem,4,4,2,2,4,4,4,4
Integer,41,JEE Adv 2022 Paper 2,chem,6,4,4,7,12,12,6,6
MCQ(multiple),45,JEE Adv 2022 Paper 2,chem,BC,ABCD,BC,AB,B,B,D,B
MCQ(multiple),46,JEE Adv 2022 Paper 2,chem,BCD,ACD,ACD,BCD,BCD,BCD,BCD,BCD
MCQ(multiple),47,JEE Adv 2022 Paper 2,chem,ABC,CD,B,ABC,ABC,ABC,ABC,ABC
MCQ(multiple),48,JEE Adv 2022 Paper 2,chem,ABC,ABCD,ABC,ABC,ABC,ABC,ABC,ABC
MCQ(multiple),50,JEE Adv 2022 Paper 2,chem,BC,ABD,BCD,BC,BCD,BCD,BC,BC
MCQ,51,JEE Adv 2022 Paper 2,chem,B,C,A,C,D,D,D,D
MCQ,52,JEE Adv 2022 Paper 2,chem,C,C,C,C,C,C,D,C
MCQ,53,JEE Adv 2022 Paper 2,chem,C,C,C,C,C,C,C,C
MCQ(multiple),1,JEE Adv 2023 Paper 1,math,ACD,AB,ABC,CD,AC,AC,ABC,AC
MCQ(multiple),2,JEE Adv 2023 Paper 1,math,AC,BD,BD,B,AC,None,BC,BD
MCQ(multiple),3,JEE Adv 2023 Paper 1,math,BCD,AB,AC,ABCD,None,AB,ABCD,ABC
MCQ,4,JEE Adv 2023 Paper 1,math,C,A,A,A,A,A,A,A
MCQ,5,JEE Adv 2023 Paper 1,math,A,C,B,C,A,A,C,A
MCQ,6,JEE Adv 2023 Paper 1,math,B,C,None,D,C,C,B,B
MCQ,7,JEE Adv 2023 Paper 1,math,A,None,None,None,A,A,None,A
Integer,8,JEE Adv 2023 Paper 1,math,3,2,2,4,3,None,4,1
Integer,9,JEE Adv 2023 Paper 1,math,8,None,3,None,None,None,4,10
Integer,10,JEE Adv 2023 Paper 1,math,1219,-33,None,9,2616,2616,2309,1974
Integer,11,JEE Adv 2023 Paper 1,math,281,28,None,137,1,None,281,163
Integer,12,JEE Adv 2023 Paper 1,math,45,None,None,None,560,None,None,0
Integer,13,JEE Adv 2023 Paper 1,math,3,None,None,1134,None,None,None,3
MCQ,14,JEE Adv 2023 Paper 1,math,A,A,B,A,A,B,A,A
MCQ,15,JEE Adv 2023 Paper 1,math,A,A,A,C,A,C,A,A
MCQ,16,JEE Adv 2023 Paper 1,math,B,A,B,A,A,A,A,A
MCQ,17,JEE Adv 2023 Paper 1,math,B,D,A,C,B,C,D,A
MCQ,21,JEE Adv 2023 Paper 1,phy,A,B,C,B,B,B,B,B
MCQ,23,JEE Adv 2023 Paper 1,phy,A,A,B,B,A,A,A,A
MCQ,24,JEE Adv 2023 Paper 1,phy,A,A,B,A,None,None,B,A
Integer,25,JEE Adv 2023 Paper 1,phy,3,4,2,2,2,2,3,2
Integer,27,JEE Adv 2023 Paper 1,phy,1,None,None,40,1,1.41,10,2
Integer,28,JEE Adv 2023 Paper 1,phy,121,66,-1,None,None,-36,29,114
Integer,29,JEE Adv 2023 Paper 1,phy,40,None,390,23,24,24,90,1
MCQ,31,JEE Adv 2023 Paper 1,phy,A,A,D,B,B,C,C,B
MCQ,32,JEE Adv 2023 Paper 1,phy,C,C,C,C,C,C,C,C
MCQ,33,JEE Adv 2023 Paper 1,phy,B,A,A,B,D,D,D,A
MCQ(multiple),35,JEE Adv 2023 Paper 1,chem,BCD,CD,BCD,BCD,BCD,BCD,BCD,BCD
MCQ,39,JEE Adv 2023 Paper 1,chem,A,A,D,A,None,None,D,A
MCQ,40,JEE Adv 2023 Paper 1,chem,B,D,C,C,D,C,5,C
Integer,42,JEE Adv 2023 Paper 1,chem,222,None,1620,222,888,888,210.6,276
Integer,43,JEE Adv 2023 Paper 1,chem,100,1,50000,10,100,100,0.5,10
MCQ,48,JEE Adv 2023 Paper 1,chem,D,D,C,A,A,A,A,A
MCQ,49,JEE Adv 2023 Paper 1,chem,D,D,A,B,C,C,A,A
MCQ,51,JEE Adv 2023 Paper 1,chem,D,A,C,D,A,C,A,A
MCQ,1,JEE Adv 2023 Paper 2,math,C,A,A,D,D,None,D,D
MCQ,2,JEE Adv 2023 Paper 2,math,B,B,D,A,A,A,A,A
MCQ,3,JEE Adv 2023 Paper 2,math,C,A,A,B,B,None,B,B
MCQ,4,JEE Adv 2023 Paper 2,math,B,A,D,A,A,A,A,A
MCQ(multiple),5,JEE Adv 2023 Paper 2,math,BC,C,ABD,AD,AD,AD,ABD,AD
MCQ(multiple),6,JEE Adv 2023 Paper 2,math,AB,B,None,ABD,A,AD,ABD,AB
MCQ(multiple),7,JEE Adv 2023 Paper 2,math,ABC,BD,BC,ABCD,ABCD,ABC,ABCD,ABCD
Integer,8,JEE Adv 2023 Paper 2,math,0,1,None,0,0,0,0,0
Integer,9,JEE Adv 2023 Paper 2,math,16,7,None,2,0,None,7,7
Integer,10,JEE Adv 2023 Paper 2,math,31,None,None,38,38,None,133,19
Integer,11,JEE Adv 2023 Paper 2,math,512,256,None,None,None,None,8,0
Integer,12,JEE Adv 2023 Paper 2,math,3780,8,16777216,2240,2921,3410,3059,1024
Integer,13,JEE Adv 2023 Paper 2,math,2,1,29,11,4,None,16,2
Numeric,14,JEE Adv 2023 Paper 2,math,1008,4096,79.31,None,341.33,315.98,1024,0
Numeric,15,JEE Adv 2023 Paper 2,math,0.25,0.41,0.68,0.89,0.5,None,1.5,0.5
MCQ,19,JEE Adv 2023 Paper 2,phy,A,A,A,A,None,None,A,A
MCQ,20,JEE Adv 2023 Paper 2,phy,A,A,B,A,A,A,B,A
MCQ,21,JEE Adv 2023 Paper 2,phy,C,D,B,C,C,C,B,C
MCQ(multiple),24,JEE Adv 2023 Paper 2,phy,AD,AB,ABCD,ABD,B,None,ABCD,ABD
Integer,27,JEE Adv 2023 Paper 2,phy,5,None,None,0.5,45,45,5,5
Integer,29,JEE Adv 2023 Paper 2,phy,16,None,None,16,16,16,16,16
MCQ,36,JEE Adv 2023 Paper 2,chem,A,A,B,A,A,A,A,A
MCQ(multiple),39,JEE Adv 2023 Paper 2,chem,CD,AD,CD,AD,B,B,AD,AC
MCQ(multiple),40,JEE Adv 2023 Paper 2,chem,ABD,ABCD,ABCD,AB,AB,AB,AB,AB
Integer,42,JEE Adv 2023 Paper 2,chem,18,65,1,45,None,28,19,18
Integer,43,JEE Adv 2023 Paper 2,chem,5,8,6,0,4,4,5,3
Integer,44,JEE Adv 2023 Paper 2,chem,6,16,0,0,0,1,0,0
Integer,46,JEE Adv 2023 Paper 2,chem,682,None,None,683,78.3,114.2,675,12402
Numeric,50,JEE Adv 2023 Paper 2,chem,9,21.54,16,6,8,8,3,12
Numeric,51,JEE Adv 2023 Paper 2,chem,51,None,18,39,33,33,51,30
