Type,Index,Description,Subject,Gold,Random,GPT3_normal,GPT3.5_normal,GPT4_normal,GPT4_CoT,GPT4_CoT_self_refine,GPT4_CoT+OneShot,GPT4_CoT+SC@8
Numeric,14,JEE Adv 2019 Paper 2,phy,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),19,JEE Adv 2019 Paper 2,chem,ABC,0.203125,0.0,0.5,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),20,JEE Adv 2019 Paper 2,chem,ABD,0.203125,1.0,0.5,1.0,0.0,0.0,0.0,0.0
MCQ(multiple),21,JEE Adv 2019 Paper 2,chem,ACD,0.203125,0.0,0.5,1.0,0.5,0.5,0.5,0.5
MCQ(multiple),22,JEE Adv 2019 Paper 2,chem,AB,0.09375,0.0,0.0,0.0,1.0,1.0,1.0,1.0
MCQ(multiple),26,JEE Adv 2019 Paper 2,chem,BC,0.09375,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Numeric,27,JEE Adv 2019 Paper 2,chem,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,28,JEE Adv 2019 Paper 2,chem,6,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Numeric,29,JEE Adv 2019 Paper 2,chem,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,30,JEE Adv 2019 Paper 2,chem,2.98,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Numeric,32,JEE Adv 2019 Paper 2,chem,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),37,JEE Adv 2019 Paper 2,math,ABC,0.203125,0.0,0.5,0.0,0.25,0.25,0.0,0.0
MCQ(multiple),40,JEE Adv 2019 Paper 2,math,AB,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),41,JEE Adv 2019 Paper 2,math,BCD,0.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),42,JEE Adv 2019 Paper 2,math,AD,0.09375,0.0,0.0,0.0,1.0,1.0,0.25,0.0
MCQ(multiple),43,JEE Adv 2019 Paper 2,math,ABD,0.203125,0.0,0.5,0.25,0.25,0.0,0.0,0.0
MCQ(multiple),44,JEE Adv 2019 Paper 2,math,AC,0.09375,0.0,0.0,0.25,0.25,0.25,0.0,0.0
Numeric,45,JEE Adv 2019 Paper 2,math,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,46,JEE Adv 2019 Paper 2,math,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,47,JEE Adv 2019 Paper 2,math,422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Numeric,48,JEE Adv 2019 Paper 2,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,49,JEE Adv 2019 Paper 2,math,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),7,JEE Adv 2020 Paper 1,phy,BC,0.09375,0.0,0.0,1.0,0.25,1.0,1.0,1.0
MCQ(multiple),8,JEE Adv 2020 Paper 1,phy,BCD,0.203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),9,JEE Adv 2020 Paper 1,phy,AB,0.09375,0.0,0.0,0.25,1.0,1.0,0.0,0.0
Numeric,13,JEE Adv 2020 Paper 1,phy,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,16,JEE Adv 2020 Paper 1,phy,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,17,JEE Adv 2020 Paper 1,phy,0.62,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Numeric,18,JEE Adv 2020 Paper 1,phy,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,20,JEE Adv 2020 Paper 1,chem,B,0.25,0.0,1.0,1.0,0.0,1.0,1.0,1.0
MCQ,21,JEE Adv 2020 Paper 1,chem,A,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),25,JEE Adv 2020 Paper 1,chem,ABC,0.203125,0.25,0.0,0.5,1.0,0.25,0.25,0.5
MCQ(multiple),28,JEE Adv 2020 Paper 1,chem,AC,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),29,JEE Adv 2020 Paper 1,chem,ABD,0.203125,1.0,0.25,0.5,0.5,0.5,0.25,0.5
Numeric,31,JEE Adv 2020 Paper 1,chem,0.11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Numeric,33,JEE Adv 2020 Paper 1,chem,13.32,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Numeric,34,JEE Adv 2020 Paper 1,chem,6.15,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Numeric,35,JEE Adv 2020 Paper 1,chem,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,37,JEE Adv 2020 Paper 1,math,D,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,38,JEE Adv 2020 Paper 1,math,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,39,JEE Adv 2020 Paper 1,math,A,0.25,0.0,1.0,1.0,1.0,0.0,1.0,1.0
MCQ,40,JEE Adv 2020 Paper 1,math,A,0.25,1.0,0.0,1.0,1.0,0.0,1.0,1.0
MCQ,41,JEE Adv 2020 Paper 1,math,B,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ,42,JEE Adv 2020 Paper 1,math,C,0.25,0.0,1.0,0.0,1.0,0.0,0.0,1.0
MCQ(multiple),43,JEE Adv 2020 Paper 1,math,AC,0.09375,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),44,JEE Adv 2020 Paper 1,math,BCD,0.203125,0.0,0.25,0.0,0.0,0.0,0.5,0.5
MCQ(multiple),45,JEE Adv 2020 Paper 1,math,BC,0.09375,0.0,0.0,1.0,0.0,0.0,1.0,0.0
MCQ(multiple),46,JEE Adv 2020 Paper 1,math,BC,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.25
MCQ(multiple),47,JEE Adv 2020 Paper 1,math,AB,0.09375,0.0,0.0,0.0,0.0,0.0,0.25,0.0
MCQ(multiple),48,JEE Adv 2020 Paper 1,math,ABD,0.203125,0.0,0.0,0.0,0.5,0.25,0.25,0.5
Numeric,49,JEE Adv 2020 Paper 1,math,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Numeric,50,JEE Adv 2020 Paper 1,math,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,51,JEE Adv 2020 Paper 1,math,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Numeric,52,JEE Adv 2020 Paper 1,math,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,53,JEE Adv 2020 Paper 1,math,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,54,JEE Adv 2020 Paper 1,math,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Integer,2,JEE Adv 2020 Paper 2,phy,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,4,JEE Adv 2020 Paper 2,phy,4,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),10,JEE Adv 2020 Paper 2,phy,AC,0.09375,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),11,JEE Adv 2020 Paper 2,phy,AC,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),12,JEE Adv 2020 Paper 2,phy,BCD,0.203125,0.25,0.5,0.0,0.5,0.5,0.0,1.0
Numeric,15,JEE Adv 2020 Paper 2,phy,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,16,JEE Adv 2020 Paper 2,phy,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Numeric,18,JEE Adv 2020 Paper 2,phy,8.33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Integer,19,JEE Adv 2020 Paper 2,chem,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Integer,21,JEE Adv 2020 Paper 2,chem,6,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Integer,22,JEE Adv 2020 Paper 2,chem,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Integer,24,JEE Adv 2020 Paper 2,chem,6,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
MCQ(multiple),27,JEE Adv 2020 Paper 2,chem,ABCD,0.5,0.75,0.75,0.75,0.75,0.75,1.0,0.75
MCQ(multiple),28,JEE Adv 2020 Paper 2,chem,AB,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,32,JEE Adv 2020 Paper 2,chem,0.2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Numeric,35,JEE Adv 2020 Paper 2,chem,935,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Numeric,36,JEE Adv 2020 Paper 2,chem,0.2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
Integer,37,JEE Adv 2020 Paper 2,math,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,38,JEE Adv 2020 Paper 2,math,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Integer,39,JEE Adv 2020 Paper 2,math,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Integer,40,JEE Adv 2020 Paper 2,math,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Integer,41,JEE Adv 2020 Paper 2,math,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,42,JEE Adv 2020 Paper 2,math,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),43,JEE Adv 2020 Paper 2,math,AC,0.09375,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MCQ(multiple),44,JEE Adv 2020 Paper 2,math,AD,0.09375,1.0,0.0,1.0,0.25,0.25,0.25,0.25
MCQ(multiple),45,JEE Adv 2020 Paper 2,math,ABD,0.203125,0.5,0.0,0.25,0.5,0.5,1.0,0.5
MCQ(multiple),46,JEE Adv 2020 Paper 2,math,ABC,0.203125,0.5,0.5,0.25,0.0,0.0,0.0,0.25
MCQ(multiple),47,JEE Adv 2020 Paper 2,math,AC,0.09375,0.25,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),48,JEE Adv 2020 Paper 2,math,ABD,0.203125,0.0,0.0,0.0,0.25,0.0,0.0,0.25
Numeric,49,JEE Adv 2020 Paper 2,math,495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,50,JEE Adv 2020 Paper 2,math,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,51,JEE Adv 2020 Paper 2,math,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Numeric,52,JEE Adv 2020 Paper 2,math,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,53,JEE Adv 2020 Paper 2,math,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,54,JEE Adv 2020 Paper 2,math,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MCQ,4,JEE Adv 2021 Paper 1,phy,D,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Numeric,5,JEE Adv 2021 Paper 1,phy,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Numeric,6,JEE Adv 2021 Paper 1,phy,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),13,JEE Adv 2021 Paper 1,phy,ABC,0.203125,0.0,0.0,0.5,0.0,0.0,0.0,0.25
MCQ(multiple),14,JEE Adv 2021 Paper 1,phy,AD,0.09375,0.0,0.0,0.25,1.0,1.0,1.0,1.0
Integer,17,JEE Adv 2021 Paper 1,phy,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQ,22,JEE Adv 2021 Paper 1,chem,A,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,27,JEE Adv 2021 Paper 1,chem,100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,28,JEE Adv 2021 Paper 1,chem,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MCQ(multiple),31,JEE Adv 2021 Paper 1,chem,BC,0.09375,0.0,0.25,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),33,JEE Adv 2021 Paper 1,chem,ACD,0.203125,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Integer,35,JEE Adv 2021 Paper 1,chem,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,37,JEE Adv 2021 Paper 1,math,B,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,38,JEE Adv 2021 Paper 1,math,A,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCQ,39,JEE Adv 2021 Paper 1,math,A,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MCQ,40,JEE Adv 2021 Paper 1,math,C,0.25,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Numeric,41,JEE Adv 2021 Paper 1,math,76.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Numeric,42,JEE Adv 2021 Paper 1,math,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,43,JEE Adv 2021 Paper 1,math,1.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Numeric,44,JEE Adv 2021 Paper 1,math,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,45,JEE Adv 2021 Paper 1,math,9.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,46,JEE Adv 2021 Paper 1,math,77.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),47,JEE Adv 2021 Paper 1,math,ABD,0.203125,0.25,0.0,0.5,0.0,0.25,0.5,0.0
MCQ(multiple),48,JEE Adv 2021 Paper 1,math,AB,0.09375,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MCQ(multiple),49,JEE Adv 2021 Paper 1,math,ABC,0.203125,0.5,1.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),50,JEE Adv 2021 Paper 1,math,ABC,0.203125,0.5,0.0,0.0,0.5,1.0,0.5,0.5
MCQ(multiple),51,JEE Adv 2021 Paper 1,math,AB,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.25
MCQ(multiple),52,JEE Adv 2021 Paper 1,math,BD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,53,JEE Adv 2021 Paper 1,math,4,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
Integer,54,JEE Adv 2021 Paper 1,math,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),2,JEE Adv 2021 Paper 2,phy,AD,0.09375,0.25,0.0,0.0,0.25,0.0,0.0,0.25
MCQ(multiple),4,JEE Adv 2021 Paper 2,phy,BD,0.09375,0.0,0.25,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),5,JEE Adv 2021 Paper 2,phy,ACD,0.203125,0.0,0.0,1.0,0.0,0.0,0.5,0.0
Numeric,9,JEE Adv 2021 Paper 2,phy,0.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Numeric,10,JEE Adv 2021 Paper 2,phy,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,11,JEE Adv 2021 Paper 2,phy,100.00,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Numeric,12,JEE Adv 2021 Paper 2,phy,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),21,JEE Adv 2021 Paper 2,chem,BCD,0.203125,0.0,0.5,0.0,0.25,0.25,0.0,0.0
MCQ(multiple),22,JEE Adv 2021 Paper 2,chem,ABC,0.203125,0.25,0.25,0.5,1.0,1.0,0.0,0.5
MCQ(multiple),23,JEE Adv 2021 Paper 2,chem,ABD,0.203125,0.0,0.25,0.0,0.5,1.0,0.0,0.0
MCQ(multiple),24,JEE Adv 2021 Paper 2,chem,ABD,0.203125,0.0,0.5,1.0,1.0,1.0,1.0,1.0
Numeric,25,JEE Adv 2021 Paper 2,chem,0.22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Numeric,26,JEE Adv 2021 Paper 2,chem,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,27,JEE Adv 2021 Paper 2,chem,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,28,JEE Adv 2021 Paper 2,chem,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,29,JEE Adv 2021 Paper 2,chem,1.87,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Numeric,30,JEE Adv 2021 Paper 2,chem,18.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
MCQ,31,JEE Adv 2021 Paper 2,chem,A,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,33,JEE Adv 2021 Paper 2,chem,C,0.25,0.0,0.0,1.0,1.0,0.0,1.0,1.0
MCQ,34,JEE Adv 2021 Paper 2,chem,D,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Integer,36,JEE Adv 2021 Paper 2,chem,30,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),37,JEE Adv 2021 Paper 2,math,ABD,0.203125,0.0,0.0,0.5,0.5,0.5,1.0,0.5
MCQ(multiple),38,JEE Adv 2021 Paper 2,math,AB,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),39,JEE Adv 2021 Paper 2,math,ABC,0.203125,0.5,0.5,0.0,0.5,0.5,0.5,0.25
MCQ(multiple),40,JEE Adv 2021 Paper 2,math,AC,0.09375,0.0,1.0,1.0,1.0,1.0,0.0,1.0
MCQ(multiple),42,JEE Adv 2021 Paper 2,math,ABD,0.203125,0.0,0.5,0.25,0.25,0.25,0.25,1.0
Numeric,43,JEE Adv 2021 Paper 2,math,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,44,JEE Adv 2021 Paper 2,math,2.00,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Numeric,45,JEE Adv 2021 Paper 2,math,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,46,JEE Adv 2021 Paper 2,math,6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Numeric,47,JEE Adv 2021 Paper 2,math,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
MCQ,49,JEE Adv 2021 Paper 2,math,D,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0
MCQ,50,JEE Adv 2021 Paper 2,math,B,0.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0
MCQ,51,JEE Adv 2021 Paper 2,math,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,1,JEE Adv 2022 Paper 1,math,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,2,JEE Adv 2022 Paper 1,math,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,3,JEE Adv 2022 Paper 1,math,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Numeric,4,JEE Adv 2022 Paper 1,math,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Numeric,5,JEE Adv 2022 Paper 1,math,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,6,JEE Adv 2022 Paper 1,math,18900,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Numeric,7,JEE Adv 2022 Paper 1,math,569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,8,JEE Adv 2022 Paper 1,math,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),9,JEE Adv 2022 Paper 1,math,CD,0.09375,0.25,0.0,1.0,0.0,1.0,0.0,1.0
MCQ(multiple),10,JEE Adv 2022 Paper 1,math,BC,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),11,JEE Adv 2022 Paper 1,math,ABD,0.203125,0.0,0.5,0.0,0.25,0.25,0.25,0.0
MCQ(multiple),12,JEE Adv 2022 Paper 1,math,ABC,0.203125,0.0,0.0,0.0,0.0,0.0,0.25,0.0
MCQ(multiple),14,JEE Adv 2022 Paper 1,math,AC,0.09375,0.0,0.0,0.0,1.0,1.0,0.0,0.0
MCQ,15,JEE Adv 2022 Paper 1,math,B,0.25,0.0,0.0,1.0,0.0,0.0,1.0,1.0
MCQ,16,JEE Adv 2022 Paper 1,math,A,0.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0
MCQ,17,JEE Adv 2022 Paper 1,math,B,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0
MCQ,18,JEE Adv 2022 Paper 1,math,C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,19,JEE Adv 2022 Paper 1,phy,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,20,JEE Adv 2022 Paper 1,phy,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,23,JEE Adv 2022 Paper 1,phy,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,25,JEE Adv 2022 Paper 1,phy,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Numeric,26,JEE Adv 2022 Paper 1,phy,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),32,JEE Adv 2022 Paper 1,phy,ABD,0.203125,0.0,0.0,0.5,0.0,0.0,0.5,1.0
MCQ,35,JEE Adv 2022 Paper 1,phy,C,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Numeric,37,JEE Adv 2022 Paper 1,chem,90.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,38,JEE Adv 2022 Paper 1,chem,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,39,JEE Adv 2022 Paper 1,chem,10.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Numeric,40,JEE Adv 2022 Paper 1,chem,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,41,JEE Adv 2022 Paper 1,chem,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),45,JEE Adv 2022 Paper 1,chem,AD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),46,JEE Adv 2022 Paper 1,chem,AD,0.09375,0.0,0.0,1.0,1.0,1.0,0.0,0.0
MCQ(multiple),47,JEE Adv 2022 Paper 1,chem,BCD,0.203125,0.0,0.25,0.5,1.0,0.5,1.0,1.0
MCQ(multiple),48,JEE Adv 2022 Paper 1,chem,AD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ,52,JEE Adv 2022 Paper 1,chem,D,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MCQ,53,JEE Adv 2022 Paper 1,chem,A,0.25,1.0,0.0,0.0,1.0,1.0,1.0,1.0
MCQ,54,JEE Adv 2022 Paper 1,chem,D,0.25,1.0,0.0,1.0,1.0,0.0,0.0,1.0
Integer,1,JEE Adv 2022 Paper 2,math,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,2,JEE Adv 2022 Paper 2,math,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Numeric,3,JEE Adv 2022 Paper 2,math,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,4,JEE Adv 2022 Paper 2,math,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Integer,5,JEE Adv 2022 Paper 2,math,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,6,JEE Adv 2022 Paper 2,math,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,7,JEE Adv 2022 Paper 2,math,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,8,JEE Adv 2022 Paper 2,math,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),9,JEE Adv 2022 Paper 2,math,AB,0.09375,0.25,0.25,0.25,1.0,1.0,0.25,0.0
MCQ(multiple),10,JEE Adv 2022 Paper 2,math,ABC,0.203125,0.5,0.25,1.0,0.5,0.5,0.0,1.0
MCQ(multiple),11,JEE Adv 2022 Paper 2,math,A,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),12,JEE Adv 2022 Paper 2,math,CD,0.09375,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MCQ(multiple),13,JEE Adv 2022 Paper 2,math,BCD,0.203125,0.25,0.25,0.5,0.0,0.0,0.25,0.0
MCQ(multiple),14,JEE Adv 2022 Paper 2,math,C,0.0625,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MCQ,15,JEE Adv 2022 Paper 2,math,A,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MCQ,16,JEE Adv 2022 Paper 2,math,A,0.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0
MCQ,17,JEE Adv 2022 Paper 2,math,C,0.25,0.0,1.0,1.0,0.0,0.0,0.0,1.0
MCQ,18,JEE Adv 2022 Paper 2,math,B,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Integer,19,JEE Adv 2022 Paper 2,phy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,20,JEE Adv 2022 Paper 2,phy,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Integer,22,JEE Adv 2022 Paper 2,phy,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Integer,25,JEE Adv 2022 Paper 2,phy,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),29,JEE Adv 2022 Paper 2,phy,CD,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCQ(multiple),30,JEE Adv 2022 Paper 2,phy,ACD,0.203125,0.0,0.0,0.0,0.5,0.5,0.5,1.0
MCQ,34,JEE Adv 2022 Paper 2,phy,A,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MCQ,35,JEE Adv 2022 Paper 2,phy,C,0.25,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Integer,37,JEE Adv 2022 Paper 2,chem,6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Integer,38,JEE Adv 2022 Paper 2,chem,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Integer,40,JEE Adv 2022 Paper 2,chem,4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Integer,41,JEE Adv 2022 Paper 2,chem,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MCQ(multiple),45,JEE Adv 2022 Paper 2,chem,BC,0.09375,0.0,1.0,0.0,0.25,0.25,0.0,0.25
MCQ(multiple),46,JEE Adv 2022 Paper 2,chem,BCD,0.203125,0.0,0.0,1.0,1.0,1.0,1.0,1.0
MCQ(multiple),47,JEE Adv 2022 Paper 2,chem,ABC,0.203125,0.0,0.25,1.0,1.0,1.0,1.0,1.0
